true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,7,12,12,12,6,38,3,2,1,10,2,0
2,3,105,3,25,5,31,0,3,13,10,3,0
3,0,0,1936,62,307,26,57,5,1,85,0,0
4,1,3,40,2328,119,325,170,33,12,45,37,0
5,2,1,365,351,596,114,79,10,4,54,1,0
6,9,30,31,401,57,2725,195,53,10,28,357,0
7,0,0,45,315,40,615,1059,28,0,17,1,0
8,4,5,16,125,11,109,53,2040,631,24,68,1
9,1,5,3,15,1,11,0,164,4182,12,0,0
10,1,1,86,44,48,18,8,9,14,534,8,0
11,1,0,0,192,3,692,11,47,1,1,1844,8
12,0,0,0,0,0,0,0,8,0,0,33,47
