true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,4,15,13,10,3,34,5,2,1,12,6,0
2,6,101,5,21,5,31,1,2,14,10,5,0
3,0,1,1952,54,297,23,55,6,1,89,1,0
4,1,7,62,2332,100,305,178,28,15,42,43,0
5,2,0,388,349,558,113,93,11,5,52,6,0
6,8,31,22,399,60,2713,210,56,9,27,361,0
7,0,0,40,280,39,620,1098,25,0,15,3,0
8,2,5,19,114,8,101,60,2023,658,28,68,1
9,0,10,4,14,1,11,0,134,4207,13,0,0
10,0,2,87,45,48,18,11,10,17,526,7,0
11,1,0,0,186,1,671,8,54,0,3,1872,4
12,0,0,0,0,0,0,0,8,0,0,38,42
