true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,1,15,51,10,6,67,0,3,3,24,6,0
2,6,107,15,14,1,77,1,9,6,47,0,0
3,0,0,2286,50,166,15,13,8,0,100,0,0
4,0,3,157,2861,157,464,188,114,8,78,66,0
5,0,0,1324,281,600,206,30,28,2,84,2,0
6,5,19,211,403,63,2810,335,166,11,80,798,0
7,0,0,246,316,56,414,1094,138,2,16,58,0
8,0,1,43,67,12,71,51,3279,375,24,130,0
9,0,7,1,10,1,10,0,275,4024,24,1,0
10,0,6,266,219,51,76,16,40,18,2407,22,0
11,0,0,8,168,6,538,26,121,4,20,2119,2
12,0,0,0,0,0,0,0,1,0,0,1,4
