true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,0,7,7,4,3,20,3,0,2,13,2,0
2,0,65,5,4,0,24,0,2,6,9,1,0
3,0,0,1609,27,114,10,135,6,0,45,0,0
4,0,2,50,2719,150,291,365,53,2,69,35,0
5,0,1,242,74,191,14,51,6,0,26,0,0
6,0,19,25,374,28,2488,498,52,0,28,462,0
7,0,0,32,215,30,192,1544,40,0,21,4,0
8,0,2,16,85,10,63,100,2687,153,39,96,2
9,0,8,2,2,2,4,1,297,2270,8,0,0
10,0,4,120,60,29,29,13,13,4,1132,8,0
11,0,0,2,106,1,462,24,43,1,9,2446,8
12,0,0,0,0,0,0,0,4,0,0,16,45
