true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,0,9,7,5,3,18,3,1,1,12,2,0
2,0,69,4,4,0,21,0,3,6,9,0,0
3,0,0,1614,27,122,6,113,1,1,62,0,0
4,0,1,50,2687,138,297,393,76,2,63,29,0
5,0,1,232,81,196,16,49,6,2,22,0,0
6,0,25,22,354,34,2524,476,52,0,30,457,0
7,0,0,25,192,28,201,1573,36,0,18,5,0
8,0,2,19,72,10,78,93,2700,147,35,95,2
9,0,9,2,4,0,5,0,299,2268,7,0,0
10,0,6,119,52,37,36,20,13,3,1114,12,0
11,0,0,2,112,1,461,17,42,1,8,2450,8
12,0,0,0,0,0,0,0,4,0,0,22,39
