true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,1,17,53,6,3,64,0,9,5,25,3,0
2,4,125,12,16,1,59,1,8,9,44,4,0
3,0,0,2360,50,108,13,14,8,0,85,0,0
4,0,2,213,2764,129,498,197,132,5,83,73,0
5,0,1,1440,247,525,215,28,27,2,72,0,0
6,3,23,255,388,52,2758,328,186,11,72,825,0
7,0,0,306,282,47,374,1090,155,0,18,68,0
8,0,1,47,50,12,55,57,3356,323,27,124,1
9,0,4,0,7,2,4,0,261,4050,24,1,0
10,2,11,312,186,35,67,15,59,24,2386,24,0
11,0,0,9,150,12,498,29,119,2,21,2172,0
12,0,0,0,0,0,0,0,1,0,0,2,3
