set,macro_f1_mean,macro_f1_std,bal_acc_mean,n_nin_train_mean,per_class_f1
grunnkart,0.7043004829539038,0.00866001854244114,0.6867343829795063,0.0,"{2: 0.5194, 3: 0.7664, 4: 0.7304, 5: 0.5307, 6: 0.6562, 7: 0.649, 8: 0.9495, 10: 0.8314, 11: 0.7578, 12: 0.6522}"
+nin_all,0.7010172656981282,0.00885878328596748,0.6814319658045717,142973.0,"{2: 0.5116, 3: 0.7611, 4: 0.7265, 5: 0.5229, 6: 0.6532, 7: 0.6482, 8: 0.9494, 10: 0.8251, 11: 0.7546, 12: 0.6575}"
+nin_cap2k,0.7054120325734105,0.00954054874298947,0.6879697572064539,8491.0,"{2: 0.5249, 3: 0.766, 4: 0.7302, 5: 0.5321, 6: 0.6555, 7: 0.6509, 8: 0.9496, 10: 0.833, 11: 0.7576, 12: 0.6542}"
+nin_245,0.7017731085494615,0.009735991450159895,0.6834627183118988,49761.0,"{2: 0.5263, 3: 0.7635, 4: 0.7285, 5: 0.517, 6: 0.6542, 7: 0.6465, 8: 0.9493, 10: 0.8272, 11: 0.7577, 12: 0.6475}"
+nin_245_cap2k,0.7051298357267942,0.008330017053864932,0.6869579980079044,4491.0,"{2: 0.5228, 3: 0.7647, 4: 0.7295, 5: 0.5288, 6: 0.6558, 7: 0.6472, 8: 0.9496, 10: 0.8331, 11: 0.7581, 12: 0.6617}"
+nin_2457_cap2k,0.7047124419542493,0.00987978402451545,0.6870761500214139,6491.0,"{2: 0.5242, 3: 0.7653, 4: 0.7293, 5: 0.5332, 6: 0.6549, 7: 0.6491, 8: 0.9495, 10: 0.8331, 11: 0.7576, 12: 0.6509}"
