n_train_used,n_val_used,train_time_s,val_time_s,f1_macro,balanced_accuracy,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9,f1_class_10,f1_class_11,model,fold,n_train,wall_s
2695,26373,3.48,0.04,0.5661,0.5591,0.0,0.462,0.7115,0.6792,0.4464,0.6057,0.5436,0.7995,0.9187,0.7665,0.724,0.1364,catboost,0,2695,3.7
7263,26373,3.51,0.04,0.6077,0.5938,0.0163,0.522,0.726,0.6991,0.4863,0.627,0.5713,0.808,0.9179,0.7766,0.7271,0.4151,catboost,0,7263,3.8
19572,26373,4.26,0.04,0.629,0.6137,0.0615,0.5627,0.7489,0.7014,0.5187,0.633,0.595,0.8198,0.9255,0.7997,0.7331,0.4483,catboost,0,19572,4.5
52746,26373,4.59,0.03,0.6427,0.6279,0.0571,0.5758,0.7539,0.7079,0.5255,0.6498,0.6089,0.8321,0.932,0.8055,0.7393,0.5246,catboost,0,52746,4.8
1000,26373,3.66,0.04,0.5194,0.5096,0.0,0.4592,0.6844,0.6605,0.353,0.5455,0.5269,0.7559,0.894,0.7013,0.6526,0.0,catboost,1,1000,3.9
2695,26373,3.34,0.04,0.5884,0.5685,0.0,0.4911,0.7378,0.6888,0.4283,0.5851,0.5468,0.7726,0.8972,0.7382,0.7012,0.4737,catboost,1,2695,3.6
7263,26373,3.5,0.03,0.6138,0.6018,0.0272,0.4919,0.7546,0.6905,0.4552,0.595,0.5683,0.7947,0.9095,0.7548,0.7182,0.6061,catboost,1,7263,3.8
19572,26373,3.61,0.04,0.639,0.6258,0.0268,0.5577,0.7714,0.6975,0.5123,0.617,0.5967,0.8046,0.9157,0.7669,0.7301,0.6715,catboost,1,19572,3.9
52746,26373,4.15,0.04,0.6576,0.6442,0.0838,0.5887,0.7825,0.7139,0.5361,0.621,0.6174,0.8103,0.9181,0.7838,0.7369,0.6986,catboost,1,52746,4.4
1000,26373,3.25,0.04,0.5281,0.5132,0.0,0.3279,0.7008,0.6645,0.2992,0.5966,0.5196,0.768,0.8926,0.7433,0.7077,0.1176,catboost,2,1000,3.5
2695,26373,3.59,0.03,0.5804,0.5606,0.0526,0.4333,0.7154,0.6744,0.3765,0.6268,0.5737,0.7776,0.9034,0.7649,0.7244,0.3415,catboost,2,2695,3.8
7263,26373,4.0,0.03,0.6187,0.5982,0.0556,0.4646,0.7419,0.6837,0.4376,0.6423,0.5933,0.8016,0.9123,0.7854,0.7462,0.56,catboost,2,7263,4.3
19572,26373,4.11,0.04,0.6387,0.6256,0.0,0.5076,0.7513,0.6991,0.4597,0.6531,0.6195,0.8106,0.9184,0.8068,0.7471,0.6909,catboost,2,19572,4.4
52746,26373,4.53,0.04,0.6543,0.6542,0.0566,0.5329,0.7607,0.7147,0.4755,0.6693,0.6346,0.8241,0.9252,0.8151,0.7568,0.6857,catboost,2,52746,4.7
1000,5000,1.09,6.53,0.6062,0.5981,0.0,0.5625,0.7605,0.6848,0.4661,0.618,0.5884,0.801,0.9218,0.7936,0.7448,0.3333,tabicl,0,1000,8.3
5000,5000,1.18,13.44,0.6549,0.6442,0.0,0.6364,0.7783,0.7069,0.4756,0.6455,0.6152,0.8308,0.9348,0.8208,0.7474,0.6667,tabicl,0,5000,14.9
5000,5000,1.17,13.8,0.6635,0.6493,0.0714,0.6744,0.7743,0.7039,0.4811,0.6405,0.6036,0.8329,0.9359,0.824,0.7533,0.6667,tabicl,0,52746,15.2
1000,5000,0.96,6.07,0.6116,0.5938,0.0,0.6076,0.7341,0.7016,0.4155,0.5833,0.5766,0.7991,0.9188,0.7705,0.7063,0.5263,tabicl,1,1000,7.3
5000,5000,1.21,13.78,0.6608,0.6571,0.0,0.6047,0.766,0.7245,0.5179,0.6128,0.615,0.8179,0.9239,0.8212,0.7255,0.8,tabicl,1,5000,15.2
5000,5000,1.14,14.01,0.5912,0.5888,0.0,0.5676,0.7791,0.721,0.4946,0.6229,0.6267,0.8161,0.9268,0.8157,0.7235,0.0,tabicl,1,52746,15.4
1000,5000,0.98,6.16,0.6243,0.611,0.0,0.4262,0.7572,0.6912,0.4108,0.6602,0.5244,0.8019,0.9129,0.819,0.7825,0.7059,tabicl,2,1000,7.4
5000,5000,1.18,14.07,0.6602,0.6423,0.0,0.4928,0.7876,0.7144,0.5112,0.6848,0.626,0.8324,0.9377,0.8269,0.7941,0.7143,tabicl,2,5000,15.6
5000,5000,1.3,13.97,0.6556,0.6505,0.0,0.4545,0.7955,0.7152,0.4915,0.6757,0.6041,0.8237,0.9301,0.8181,0.7815,0.7778,tabicl,2,52746,15.6
